term_36m,term_60m,grade_n,sub_grade_n,revol_util_n,int_rate_n,installment_n,tot_hi_cred_lim_n,emp_length_n,dti_n,avg_cur_bal_n,all_util_n,acc_open_past_24mths_n,annual_inc_n,loan_amnt_n,cover,Outcome
1,0,4,45,31.8,18.75,125.12,44780.0,10.0,6.24,4254,100,2,50000.0,3425,14.5985401459854,0
1,0,3,37,22.2,23.99,313.83,14300.0,0.5,0.8,793,22,3,100000.0,8000,12.5,0
1,0,5,53,62.1,13.8,477.13,-1.0,5.0,6.85,-1,100,-1,65000.0,14000,4.64285714285714,0
1,0,6,61,71.3,12.99,943.3,637220.0,5.0,13.98,56968,100,5,245000.0,28000,8.75,0
1,0,5,55,36.1,13.33,1015.6,510075.0,9.0,7.0,58944,100,3,265000.0,30000,8.83333333333333,0
1,0,4,41,88.2,17.86,1262.88,388581.0,10.0,21.75,21859,100,4,250000.0,35000,7.14285714285714,0
1,0,4,45,0.6,18.99,397.67,19900.0,5.0,13.87,2426,73,5,56000.0,10850,5.16129032258065,0
1,0,3,35,90.3,17.04,891.86,-1.0,4.0,9.36,-1,100,-1,55000.0,25000,2.2,0
1,0,7,71,19.4,8.59,126.44,36056.0,4.0,14.27,1726,48,3,55000.0,4000,13.75,0
1,0,3,31,45.1,24.99,994.86,192784.0,5.0,16.82,31801,41,3,55000.0,25025,2.1978021978022,0
1,0,5,51,38.3,15.23,233.02,-1.0,5.0,10.42,-1,100,-1,85000.0,6700,12.6865671641791,0
0,1,3,31,69.4,22.45,418.14,194196.0,0.0,31.22,8518,78,10,65076.0,15000,4.3384,1
1,0,3,39,56.1,18.25,591.34,19300.0,0.5,7.85,3606,100,1,48000.0,16300,2.94478527607362,0
0,1,2,27,53.2,22.99,968.85,216861.0,10.0,33.91,8905,100,9,100000.0,34375,2.90909090909091,0
1,0,5,57,75.5,12.59,403.64,44789.0,8.0,10.28,2129,100,2,80000.0,12050,6.63900414937759,0
1,0,4,47,61.3,17.27,429.45,89997.0,2.0,14.08,9246,72,4,70000.0,12000,5.83333333333333,1
0,1,1,17,50.2,25.83,746.0,67313.0,5.0,16.29,1883,100,12,70000.0,25000,2.8,0
0,1,5,53,16.1,16.29,359.14,-1.0,10.0,19.54,-1,100,6,50000.0,14675,3.40715502555366,0
0,1,2,29,79.4,28.72,394.65,195402.0,10.0,14.92,11974,76,3,82050.0,12500,6.564,1
1,0,3,39,3.0,19.99,1300.55,-1.0,4.0,9.63,-1,100,-1,84000.0,35000,2.4,0
0,1,2,23,20.1,24.99,1027.1,74736.0,10.0,9.21,5264,100,10,167000.0,35000,4.77142857142857,0
1,0,7,71,10.2,8.9,381.04,-1.0,4.0,0.54,-1,100,0,105000.0,12000,8.75,0
1,0,3,37,77.6,21.0,90.43,3200.0,10.0,1.13,1242,100,1,82000.0,2400,34.1666666666667,0
1,0,5,53,57.2,14.46,688.03,68603.0,5.0,14.36,4325,76,2,110000.0,20000,5.5,0
1,0,5,51,65.9,14.65,258.71,134352.0,5.0,24.23,7259,100,7,72000.0,7500,9.6,0
0,1,4,41,43.5,21.45,1037.68,56400.0,2.0,8.66,10552,44,2,128000.0,38000,3.36842105263158,1
1,0,7,71,36.7,7.99,31.34,130625.0,3.0,18.13,12320,97,5,45000.0,1000,45.0,0
1,0,2,29,0.0,15.01,73.68,-1.0,0.5,16.89,-1,100,-1,96000.0,2125,45.1764705882353,0
0,1,3,33,10.1,20.99,444.26,264989.0,0.5,9.67,43135,100,5,70000.0,16425,4.26179604261796,0
0,1,4,41,31.5,19.72,790.15,217377.0,10.0,20.97,3428,100,1,95000.0,30000,3.16666666666667,0
1,0,2,23,72.1,25.88,241.37,38000.0,0.5,43.85,4657,74,4,20000.0,6000,3.33333333333333,0
1,0,3,31,54.9,22.15,367.38,30323.0,2.0,22.55,4019,100,4,30000.0,9600,3.125,0
1,0,4,45,84.0,16.49,265.5,35136.0,8.0,10.26,7158,100,2,80000.0,7500,10.6666666666667,0
0,1,4,45,17.1,19.92,780.26,232844.0,1.0,9.51,8006,78,5,155000.0,29500,5.25423728813559,0
1,0,5,53,53.2,15.61,864.51,30725.0,0.5,8.19,1356,100,2,62000.0,24725,2.50758341759353,0
1,0,2,25,67.9,24.5,1382.36,285262.0,1.0,15.46,12899,100,3,121000.0,35000,3.45714285714286,0
1,0,4,45,82.0,16.49,865.52,35600.0,8.0,13.56,2434,100,1,72012.0,24450,2.94527607361963,0
1,0,5,53,38.2,14.99,207.97,40802.0,5.0,28.66,3252,72,1,32000.0,6000,5.33333333333333,0
1,0,6,61,73.5,12.49,668.98,144177.0,10.0,28.87,11451,100,3,55000.0,20000,2.75,0
1,0,5,51,56.1,14.65,189.72,86825.0,4.0,22.27,4518,100,2,75000.0,5500,13.6363636363636,0
0,1,4,45,78.8,16.99,496.95,231060.0,5.0,9.78,21750,100,4,75000.0,20000,3.75,0
0,1,4,47,38.8,14.91,301.54,-1.0,4.0,24.79,-1,100,-1,50000.0,12700,3.93700787401575,0
1,0,4,43,77.8,19.52,184.6,137406.0,10.0,8.05,15570,100,3,58000.0,5000,11.6,0
0,1,4,45,26.3,18.99,389.03,335199.0,0.5,11.13,20284,67,8,75000.0,15000,5.0,0
0,1,3,39,53.3,19.99,556.26,189874.0,10.0,16.24,14585,82,5,88000.0,21000,4.19047619047619,1
1,0,4,49,66.0,17.76,43.24,11900.0,10.0,21.35,1963,100,0,17200.0,1200,14.3333333333333,0
0,1,4,41,43.0,17.86,886.11,121869.0,3.0,13.47,6680,100,2,150000.0,35000,4.28571428571429,0
1,0,4,41,60.3,19.53,1292.36,68385.0,1.0,11.74,8519,75,4,160000.0,35000,4.57142857142857,0
1,0,7,75,4.1,7.21,346.9,25200.0,10.0,1.35,344,4,1,55000.0,11200,4.91071428571429,0
0,1,5,59,46.4,14.33,468.8,-1.0,10.0,9.68,-1,100,0,127000.0,20000,6.35,0
0,1,2,25,49.7,23.63,456.86,310573.0,8.0,20.45,11909,100,10,92000.0,16000,5.75,0
0,1,1,13,56.8,28.67,706.53,61271.0,1.0,8.95,8986,75,4,44800.0,22400,2.0,1
1,0,6,63,56.3,10.99,81.84,15864.0,0.0,9.15,1487,100,1,40000.0,2500,16.0,0
1,0,4,45,30.9,16.49,212.4,101576.0,10.0,15.4,6301,100,7,30000.0,6000,5.0,0
1,0,3,35,58.1,17.04,713.49,-1.0,9.0,12.5,-1,100,-1,186462.0,20000,9.3231,0
1,0,3,39,55.9,18.99,733.02,190768.0,10.0,18.55,13801,100,2,110000.0,20000,5.5,0
1,0,4,45,73.0,14.74,268.53,-1.0,4.0,13.59,-1,100,-1,34000.0,10000,3.4,0
1,0,3,39,76.7,22.91,1546.52,92755.0,7.0,16.26,4134,111,3,87000.0,40000,2.175,1
0,1,4,45,56.1,18.25,536.13,492827.0,2.0,30.47,76092,65,2,82000.0,21000,3.9047619047619,0
1,0,4,47,51.3,16.59,1240.72,183578.0,10.0,18.24,10930,74,6,142781.21,35000,4.07946314285714,1
1,0,4,49,15.4,15.59,349.55,71094.0,5.0,33.37,5489,100,1,42000.0,10000,4.2,0
0,1,3,37,56.8,21.0,946.87,390005.0,4.0,21.39,22377,100,7,135000.0,35000,3.85714285714286,0
1,0,4,45,56.0,15.31,60.93,-1.0,2.0,22.72,-1,100,-1,15000.0,1750,8.57142857142857,0
1,0,6,63,11.5,11.67,165.29,209747.0,3.0,2.53,26310,100,1,74000.0,5000,14.8,0
1,0,3,35,91.6,17.04,214.05,-1.0,0.5,9.96,-1,100,-1,50000.0,6000,8.33333333333333,0
1,0,4,41,31.0,18.24,1154.39,712475.0,9.0,6.29,85185,100,2,120000.0,31825,3.77062058130401,0
1,0,5,57,11.9,12.69,301.91,62983.0,10.0,7.18,681,100,11,73000.0,9000,8.11111111111111,0
1,0,6,65,53.0,9.99,309.72,84478.0,0.5,12.72,2062,100,5,90000.0,9600,9.375,0
1,0,3,37,67.1,20.75,1198.69,434959.0,2.0,3.68,53420,76,6,115000.0,31925,3.60219263899765,0
1,0,1,19,50.4,25.8,925.25,257825.0,4.0,9.35,25750,100,5,92823.0,23025,4.0314006514658,0
1,0,5,51,52.5,15.31,125.35,17083.0,8.0,20.79,1193,49,4,23900.0,3600,6.63888888888889,0
1,0,5,55,81.1,13.66,510.2,29253.0,10.0,19.24,6027,100,2,35000.0,15000,2.33333333333333,0
1,0,6,63,41.8,13.11,715.44,-1.0,4.0,29.66,-1,100,4,53500.0,21200,2.52358490566038,0
0,1,3,39,34.9,18.25,893.54,62109.0,10.0,14.53,11008,100,2,85000.0,35000,2.42857142857143,0
1,0,5,53,20.3,13.67,1190.62,509050.0,10.0,4.13,27996,28,3,228000.0,35000,6.51428571428571,0
1,0,3,33,52.5,23.99,723.75,177551.0,2.0,21.39,7895,97,3,45000.0,18450,2.4390243902439,0
1,0,7,79,30.7,5.32,252.97,71324.0,2.0,9.39,4899,69,5,75000.0,8400,8.92857142857143,0
1,0,2,27,47.1,24.08,785.5,101840.0,10.0,20.37,4784,100,4,155000.0,20000,7.75,0
1,0,1,19,15.6,26.77,1424.57,135910.0,4.0,22.78,11612,100,9,108000.0,35000,3.08571428571429,0
1,0,3,37,86.8,19.52,369.2,39700.0,10.0,10.52,11492,100,1,85000.0,10000,8.5,0
1,0,4,47,45.0,18.49,399.48,13400.0,5.0,6.14,1650,100,2,60000.0,10975,5.46697038724374,0
0,1,2,23,89.1,19.36,731.9,-1.0,5.0,18.07,-1,100,-1,65000.0,28000,2.32142857142857,0
1,0,5,57,60.4,12.69,187.86,210819.0,10.0,20.52,30946,100,3,51000.0,5600,9.10714285714286,0
1,0,4,45,100.0,18.99,916.28,142013.0,4.0,7.12,11858,64,3,250000.0,25000,10.0,1
0,1,6,65,23.0,11.71,364.62,-1.0,5.0,3.13,-1,100,-1,33000.0,16500,2.0,0
1,0,3,37,18.1,19.24,741.07,107946.0,3.0,32.88,3745,100,6,70000.0,20150,3.47394540942928,0
1,0,6,63,23.4,12.99,842.23,738711.0,4.0,14.26,40153,100,4,100000.0,25000,4.0,0
1,0,7,75,22.6,6.89,616.54,211939.0,3.0,11.85,16408,100,2,87000.0,20000,4.35,0
1,0,4,41,23.9,18.24,1269.56,119667.0,10.0,13.38,7486,100,13,211000.0,35000,6.02857142857143,0
1,0,5,59,31.1,12.68,670.81,-1.0,7.0,12.96,-1,100,-1,100000.0,20000,5.0,0
1,0,3,35,70.6,21.6,370.35,60968.0,9.0,12.65,6259,100,1,62900.0,9750,6.45128205128205,0
1,0,4,43,72.4,19.05,779.48,471833.0,10.0,21.38,39259,100,2,80000.0,21250,3.76470588235294,0
1,0,4,47,47.6,16.55,481.84,43903.0,8.0,27.51,3548,100,1,40000.0,13600,2.94117647058824,0
0,1,5,51,39.2,15.31,239.53,21000.0,4.0,26.61,1148,49,3,31000.0,10000,3.1,1
1,0,2,23,98.5,19.13,73.45,-1.0,0.5,17.28,-1,100,-1,50000.0,2000,25.0,0
1,0,7,75,15.9,6.99,77.19,-1.0,4.0,18.78,-1,100,-1,40000.0,2500,16.0,0
1,0,6,63,42.3,13.11,708.69,-1.0,0.5,21.07,-1,100,2,185000.0,21000,8.80952380952381,0
0,1,2,25,50.9,24.5,610.24,409813.0,10.0,22.85,31488,100,7,110500.0,21000,5.26190476190476,0
1,0,6,69,16.3,8.39,630.34,287448.0,5.0,3.79,21148,16,1,75000.0,20000,3.75,0
0,1,3,37,77.2,23.99,328.61,484755.0,2.0,25.98,33328,65,6,165000.0,11425,14.4420131291028,0
1,0,3,33,78.7,22.9,773.16,315249.0,10.0,19.84,12107,100,7,140000.0,20000,7.0,0
1,0,5,59,18.0,12.74,1007.07,328176.0,1.0,6.5,16092,18,6,110000.0,30000,3.66666666666667,0
1,0,5,59,32.5,12.62,536.18,273213.0,10.0,32.63,4739,43,15,145000.0,16000,9.0625,1
0,1,5,57,7.1,12.99,909.92,373807.0,0.5,2.47,23955,8,4,160000.0,40000,4.0,0
0,1,5,51,52.0,14.17,149.49,-1.0,10.0,4.64,-1,100,-1,53000.0,6400,8.28125,0
1,0,6,63,30.7,11.67,370.24,115435.0,1.0,23.07,4587,100,2,83490.0,11200,7.45446428571429,0
1,0,6,61,31.9,13.53,339.5,152837.0,10.0,16.78,7739,100,8,60000.0,10000,6.0,0
1,0,5,51,20.0,15.31,348.18,21106.0,3.0,1.3,1046,30,6,107000.0,10000,10.7,0
1,0,3,37,61.6,18.55,218.58,22241.0,10.0,15.72,3240,100,6,40000.0,6000,6.66666666666667,0
0,1,6,67,2.2,10.64,231.81,216097.0,7.0,10.29,20552,100,2,35000.0,10750,3.25581395348837,0
1,0,5,57,55.5,13.59,917.43,120798.0,3.0,27.06,10862,72,6,71299.0,27000,2.6407037037037,1
1,0,7,79,16.5,6.03,45.66,-1.0,6.0,6.25,-1,100,-1,60100.0,1500,40.0666666666667,0
0,1,4,45,82.9,17.27,874.93,-1.0,3.0,5.77,-1,100,-1,124000.0,35000,3.54285714285714,0
1,0,4,45,87.0,16.99,356.48,33433.0,4.0,18.24,3354,100,1,45000.0,10000,4.5,0
0,1,3,33,4.1,21.99,552.27,192357.0,6.0,12.56,6314,100,8,77000.0,20000,3.85,0
1,0,7,79,14.6,5.32,722.76,265600.0,4.0,13.39,11844,39,8,124000.0,24000,5.16666666666667,0
1,0,3,39,94.1,20.5,561.29,178100.0,10.0,12.42,20257,100,0,80000.0,15000,5.33333333333333,0
1,0,4,47,85.8,17.57,440.23,446229.0,10.0,26.05,25746,100,5,150000.0,12250,12.2448979591837,0
1,0,5,51,23.0,14.99,173.31,114579.0,10.0,29.0,6038,100,6,50000.0,5000,10.0,0
1,0,7,73,1.6,7.9,250.33,-1.0,3.0,2.75,-1,100,0,45000.0,8000,5.625,0
1,0,4,47,71.2,16.55,885.73,234678.0,1.0,8.76,41836,100,2,100000.0,25000,4.0,0
0,1,2,29,60.3,21.99,291.32,138299.0,6.0,18.98,16765,100,7,33000.0,10550,3.12796208530806,1
1,0,5,59,77.3,12.74,839.23,108961.0,10.0,23.66,5619,67,8,160000.0,25000,6.4,1
1,0,3,33,62.9,22.2,574.41,96326.0,1.0,4.53,11679,100,7,40000.0,15000,2.66666666666667,0
1,0,5,57,47.5,12.88,1164.66,126166.0,10.0,5.31,6496,46,4,520000.0,34625,15.0180505415162,1
1,0,4,47,47.7,16.59,35.45,23772.0,10.0,11.87,968,37,1,35000.0,1000,35.0,0
1,0,5,59,59.2,11.99,664.2,175001.0,10.0,12.69,13484,63,3,66750.0,20000,3.3375,1
1,0,6,65,73.3,10.49,390.79,205385.0,9.0,22.53,31632,79,4,80000.0,12025,6.65280665280665,0
1,0,4,49,35.8,15.61,699.3,96100.0,5.0,13.04,4213,100,9,150000.0,20000,7.5,0
1,0,4,49,40.4,16.99,204.98,29848.0,1.0,16.14,3579,84,5,47000.0,5750,8.17391304347826,1
1,0,2,25,23.0,24.5,107.63,408323.0,2.0,26.78,34687,100,2,65000.0,2725,23.8532110091743,0
1,0,5,53,48.4,14.49,289.1,53340.0,5.0,5.48,2578,100,2,225000.0,8400,26.7857142857143,0
1,0,4,49,54.2,15.61,230.77,26760.0,2.0,23.94,2872,100,6,40000.0,6600,6.06060606060606,0
1,0,6,61,77.6,13.67,612.32,-1.0,10.0,14.04,-1,100,-1,70000.0,18000,3.88888888888889,0
1,0,5,53,36.0,15.05,693.8,778415.0,10.0,14.33,29036,67,6,142000.0,20000,7.1,0
1,0,4,45,61.9,18.75,109.59,54189.0,6.0,25.47,4126,100,5,53560.0,3000,17.8533333333333,0
0,1,1,19,32.7,20.11,796.66,-1.0,10.0,6.92,-1,100,-1,73000.0,30000,2.43333333333333,0
1,0,5,55,69.0,14.64,383.7,45045.0,10.0,22.52,4104,100,3,41237.0,11125,3.70669662921348,0
1,0,6,63,27.7,10.74,212.01,-1.0,4.0,1.83,-1,100,-1,69592.0,6500,10.7064615384615,0
1,0,7,77,54.4,6.62,322.39,175932.0,10.0,17.49,30851,100,4,40000.0,10500,3.80952380952381,0
1,0,2,29,0.0,18.09,202.7,-1.0,1.0,9.8,-1,100,-1,18000.0,5600,3.21428571428571,0
1,0,7,71,64.3,8.49,230.41,-1.0,10.0,17.57,-1,100,-1,96000.0,7300,13.1506849315068,0
1,0,6,61,73.7,11.36,197.47,-1.0,0.0,12.89,-1,100,-1,65000.0,6000,10.8333333333333,0
1,0,5,53,89.0,15.05,145.7,54200.0,6.0,15.19,3894,86,1,50000.0,4200,11.9047619047619,1
1,0,4,45,44.0,18.75,522.38,76250.0,6.0,8.87,6901,100,4,144000.0,14300,10.0699300699301,0
1,0,5,53,55.0,14.49,275.33,31001.0,5.0,11.4,4191,100,3,60000.0,8000,7.5,0
1,0,5,53,56.4,15.05,260.18,165342.0,2.0,28.63,3478,78,3,84000.0,7500,11.2,0
1,0,5,55,75.1,14.65,220.77,-1.0,10.0,9.68,-1,100,-1,60000.0,6400,9.375,0
1,0,2,27,54.3,24.08,196.38,132533.0,10.0,12.62,12101,100,3,64000.0,5000,12.8,0
1,0,6,61,82.6,12.99,215.62,211554.0,2.0,13.58,10763,100,2,52000.0,6400,8.125,0
1,0,4,45,44.8,18.75,696.81,22390.0,3.0,6.33,1643,100,3,48000.0,19075,2.51638269986894,0
1,0,5,55,24.2,13.67,170.09,36878.0,3.0,13.84,1590,35,5,43000.0,5000,8.6,0
1,0,5,57,76.7,12.99,761.38,756794.0,5.0,17.71,39015,100,6,225000.0,22600,9.95575221238938,0
1,0,3,39,63.1,18.54,910.6,39500.0,1.0,11.76,4987,100,4,70000.0,25000,2.8,0
0,1,5,55,33.2,13.99,581.58,16400.0,10.0,27.54,1814,33,2,60000.0,25000,2.4,1
1,0,4,49,22.6,16.59,1240.72,464296.0,2.0,10.59,18860,100,8,175000.0,35000,5.0,0
0,1,4,45,72.0,19.03,363.4,44900.0,1.0,19.39,3493,70,7,70000.0,14000,5.0,1
1,0,6,65,21.5,11.71,99.23,-1.0,1.0,24.27,-1,100,-1,18000.0,3000,6.0,0
1,0,6,65,3.5,10.42,324.65,50319.0,4.0,7.23,4441,44,6,75000.0,10000,7.5,0
0,1,4,41,33.5,19.97,828.74,494592.0,5.0,14.11,25452,100,6,95000.0,31300,3.03514376996805,0
0,1,5,55,23.6,15.31,718.59,-1.0,10.0,20.33,-1,100,-1,58854.0,30000,1.9618,0
1,0,5,59,48.3,12.29,667.06,160340.0,10.0,22.17,2735,100,11,82000.0,20000,4.1,0
1,0,7,75,14.0,7.24,743.69,365550.0,9.0,15.8,23916,34,6,125000.0,24000,5.20833333333333,0
1,0,6,67,44.3,10.65,814.34,-1.0,10.0,26.83,-1,100,-1,75000.0,25000,3.0,0
1,0,6,61,36.3,11.49,164.86,211118.0,10.0,19.98,9073,57,7,46000.0,5000,9.2,0
1,0,3,39,55.4,20.49,308.67,35133.0,6.0,26.64,1300,100,7,45000.0,8250,5.45454545454545,0
0,1,6,63,28.8,10.99,456.49,58700.0,10.0,27.94,2577,53,4,47000.0,21000,2.23809523809524,0
1,0,4,47,77.7,18.25,362.78,392146.0,10.0,20.66,15888,100,9,85000.0,10000,8.5,0
1,0,7,77,0.1,6.62,457.49,-1.0,5.0,0.25,-1,100,4,120000.0,14900,8.05369127516779,0
1,0,1,17,55.8,25.83,641.2,66626.0,3.0,33.73,6026,100,9,50000.0,15950,3.13479623824451,0
0,1,4,47,18.7,14.91,356.15,-1.0,2.0,9.45,-1,100,-1,40000.0,15000,2.66666666666667,0
0,1,4,47,6.0,17.99,324.97,43100.0,10.0,2.43,184,6,1,78000.0,12800,6.09375,0
1,0,7,73,11.8,7.49,190.5,-1.0,2.0,11.16,-1,100,-1,70000.0,6125,11.4285714285714,0
1,0,5,57,29.1,14.16,469.3,12010.0,10.0,1.92,823,100,3,70000.0,13700,5.10948905109489,0
1,0,6,69,50.3,9.99,135.51,-1.0,0.0,24.78,-1,100,-1,21600.0,4200,5.14285714285714,0
1,0,3,37,5.0,18.84,194.77,77850.0,10.0,22.75,1807,100,12,50000.0,5325,9.38967136150235,0
1,0,4,41,56.7,17.86,171.4,47748.0,10.0,17.29,2007,100,6,78000.0,4750,16.4210526315789,0
1,0,4,49,21.8,15.61,524.48,247581.0,8.0,26.9,9289,100,12,75000.0,15000,5.0,0
1,0,3,33,81.0,19.99,1046.95,47262.0,3.0,8.02,2372,100,5,200000.0,28175,7.09849157054126,0
0,1,2,29,25.6,25.69,743.94,62361.0,4.0,15.44,4863,26,3,60000.0,25000,2.4,0
1,0,4,43,35.0,17.57,359.38,25926.0,1.0,6.14,2699,100,1,60000.0,10000,6.0,0
0,1,2,29,56.9,18.25,893.54,-1.0,10.0,14.69,-1,100,-1,85179.91,35000,2.43371171428571,0
1,0,5,55,66.6,13.66,340.13,50868.0,7.0,15.16,3547,100,5,70000.0,10000,7.0,0
0,1,5,57,71.5,13.59,442.68,43986.0,9.0,6.26,10920,75,1,160000.0,19200,8.33333333333333,1
1,0,5,53,20.5,14.99,103.99,34964.0,4.0,26.93,1568,45,5,18000.0,3000,6.0,0
0,1,6,67,3.0,9.93,848.51,560390.0,7.0,9.92,29072,18,10,290000.0,40000,7.25,0
0,1,4,47,35.2,14.91,427.37,-1.0,0.0,6.0,-1,100,-1,36000.0,18000,2.0,0
1,0,7,73,66.5,7.29,310.1,-1.0,10.0,14.44,-1,100,-1,31500.0,10000,3.15,0
1,0,3,39,51.2,18.25,544.17,9607.0,2.0,5.5,989,100,6,50000.0,15000,3.33333333333333,0
0,1,5,51,27.1,14.65,377.71,667504.0,2.0,18.62,51947,100,5,130000.0,16000,8.125,0
1,0,4,47,68.5,18.06,253.28,41752.0,4.0,17.65,1525,48,3,44000.0,7000,6.28571428571429,1
1,0,2,25,85.3,24.5,103.68,286711.0,10.0,14.6,29624,100,3,53500.0,2625,20.3809523809524,0
1,0,5,55,82.2,15.61,209.79,30600.0,10.0,6.15,3144,100,2,155000.0,6000,25.8333333333333,0
0,1,2,21,20.8,19.74,395.25,-1.0,10.0,4.44,-1,100,-1,38400.0,15000,2.56,0
0,1,2,25,48.6,23.99,920.39,44000.0,2.0,13.39,4387,74,0,70000.0,32000,2.1875,0
1,0,4,43,65.1,18.99,219.91,400355.0,3.0,22.67,19353,87,4,54000.0,6000,9.0,0
0,1,4,41,23.9,19.22,130.31,-1.0,5.0,17.96,-1,100,10,101778.0,5000,20.3556,0
1,0,5,59,12.5,12.99,808.54,102340.0,10.0,14.45,7853,100,1,75000.0,24000,3.125,0
1,0,7,73,65.2,7.9,469.36,-1.0,2.0,11.0,-1,100,-1,85000.0,15000,5.66666666666667,0
1,0,5,55,34.5,13.18,135.13,311228.0,10.0,17.6,18546,100,6,95000.0,4000,23.75,0
1,0,6,65,65.7,11.39,1152.34,520978.0,10.0,15.51,52424,66,5,140000.0,35000,4.0,0
1,0,5,51,0.0,14.65,172.48,4600.0,2.0,0.68,0,100,5,55000.0,5000,11.0,0
1,0,4,43,56.1,17.57,350.39,13500.0,0.5,12.92,947,100,1,28800.0,9750,2.95384615384615,0
1,0,6,69,36.2,8.24,1179.28,108542.0,10.0,3.88,8576,49,5,781000.0,37500,20.8266666666667,0
1,0,4,47,20.1,17.99,1301.31,49000.0,5.0,2.31,1140,20,0,140000.0,36000,3.88888888888889,0
1,0,3,39,53.1,18.2,253.77,604560.0,10.0,17.73,60192,100,6,90000.0,7000,12.8571428571429,0
1,0,3,39,22.3,18.99,1282.79,71347.0,3.0,8.4,4034,100,5,115000.0,35000,3.28571428571429,0
1,0,3,35,59.4,19.19,222.36,13225.0,3.0,17.59,1086,100,2,20202.0,6050,3.33917355371901,0
0,1,4,47,35.6,16.77,494.59,-1.0,2.0,9.22,-1,100,-1,250000.0,20000,12.5,0
0,1,4,49,25.7,15.77,677.49,144734.0,2.0,22.13,8543,35,3,110000.0,28000,3.92857142857143,0
1,0,3,35,31.4,17.04,713.49,-1.0,1.0,12.65,-1,100,-1,100000.0,20000,5.0,0
1,0,7,77,16.3,6.99,617.46,567480.0,2.0,2.8,57157,16,5,325000.0,20000,16.25,0
1,0,6,63,73.4,11.67,330.57,327181.0,2.0,8.44,63806,100,3,100000.0,10000,10.0,0
1,0,4,41,66.5,18.24,1088.19,90200.0,5.0,30.7,3683,100,3,90000.0,30000,3.0,0
1,0,7,73,66.0,7.9,514.73,-1.0,10.0,26.14,-1,100,10,101000.0,16450,6.13981762917933,0
1,0,5,59,60.5,11.99,168.54,7600.0,2.0,1.37,1150,61,0,151000.0,5075,29.7536945812808,0
0,1,2,21,88.3,23.83,592.74,33647.0,5.0,13.29,3119,100,3,80000.0,20675,3.86940749697703,1
1,0,4,47,62.6,16.55,425.16,126007.0,0.0,22.35,8374,100,5,90000.0,12000,7.5,0
1,0,7,71,26.3,7.88,50.05,-1.0,3.0,7.74,-1,100,-1,45600.0,1600,28.5,0
1,0,4,41,78.6,17.86,151.55,55147.0,10.0,10.91,6083,100,4,120000.0,4200,28.5714285714286,0
